Drug	Synonym	Main Indications	WHO	Off-Patent	Vitro	Vivo	Cases	Obs.	Trials	Human	Targets	Date Update	DrugBank	PubChem	PubMed	
Abacavir	1592U89	Anti-retroviral	Yes	Yes	Yes	No	Yes	No	Yes	Yes	pol; HLA-B;	25/10/2021	https://www.drugbank.ca/drugs/DB01048	https://pubchem.ncbi.nlm.nih.gov/compound/136470-78-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Abacavir+OR+1592U89)+AND+cancer	
Acetaminophen	Paracetamol	Analgesia	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	PTGES3; PTGS2; PTGS1; TRPV1;	13/07/2017	https://www.drugbank.ca/drugs/DB00316	https://pubchem.ncbi.nlm.nih.gov/compound/103-90-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Acetaminophen+OR+Paracetamol)+AND+cancer	
Acetazolamide		Glaucoma, diuretic, epilepsy	Yes	Yes	Yes	Yes	No	No	Yes	Yes	CA1; CA2; CA4; CA12; CA14; CA3; CA7; AQP1;	12/07/2017	https://www.drugbank.ca/drugs/DB00819	https://pubchem.ncbi.nlm.nih.gov/compound/59-66-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Acetazolamide)+AND+cancer	
Acetylsalicylic Acid	Aspirin	Analgesia, swelling, prophylaxis of venous embolism and further heart attacks or strokes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	PTGS1; PTGS2; AKR1C1; PRKAA1; EDNRA; TP53; HSPA5; RPS6KA3; NFKBIA; TNFAIP6; CASP1; CASP3; IKBKB; MAPK1; CCND1; MYC; PCNA; NEU1;	23/08/2017	https://www.drugbank.ca/drugs/DB00945	https://pubchem.ncbi.nlm.nih.gov/compound/50-78-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Acetylsalicylic+Acid+OR+Aspirin)+AND+cancer	
Adapalene		Acne	No	Yes	Yes	Yes	No	No	No	No	RARB; RARG; RXRB; RXRG; RXRA; JUN; TLR2; RARA; GOT1;	05/02/2020	https://www.drugbank.ca/drugs/DB00210	https://pubchem.ncbi.nlm.nih.gov/compound/106685-40-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Adapalene)+AND+cancer	
Ademetionine	AdoMet, S-Adenosylmethionine	Liver disease	No	Yes	Yes	Yes	No	No	Yes	Yes	GNMT; AMD1; MAT2A; CBS; MAT1A; COMT; CMTR1; AS3MT;	19/09/2018	https://www.drugbank.ca/drugs/DB00118	https://pubchem.ncbi.nlm.nih.gov/compound/29908-03-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ademetionine+OR+AdoMet+OR++S-Adenosylmethionine)+AND+cancer	
Agomelatine		Insomnia	No	No	Yes	No	No	No	No	No	HTR2C; MTNR1A; MTNR1B;	13/07/2017	https://www.drugbank.ca/drugs/DB06594	https://pubchem.ncbi.nlm.nih.gov/compound/138112-76-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Agomelatine)+AND+cancer	
Albendazole		Parasitic infection	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	TUBA1A; TUBB4B;	23/07/2021	https://www.drugbank.ca/drugs/DB00518	https://pubchem.ncbi.nlm.nih.gov/compound/54965-21-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Albendazole)+AND+cancer	
Alendronic Acid	Alendronate	Osteoporosis	No	Yes	Yes	Yes	Yes	No	Yes	Yes	FDPS; PTPN4; PTPRS; PTPRE; ATP6V1A;	12/03/2018	https://www.drugbank.ca/drugs/DB00630	https://pubchem.ncbi.nlm.nih.gov/compound/66376-36-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Alendronic+Acid+OR+Alendronate)+AND+cancer	
Aliskiren		Essential hypertension	No	Yes	Yes	No	No	No	No	No	REN;	02/08/2021	https://www.drugbank.ca/drugs/DB09026	https://pubchem.ncbi.nlm.nih.gov/compound/173334-57-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Aliskiren)+AND+cancer	
